genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Bruxa,Witchstep (Black Ceiling Remix),12,TCABC1170547,https://www.youtube.com/watch?v=j0dfBgOCV6c,13327
skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,DKSTR,Don't Stop,9,QZDA71817110,https://www.youtube.com/watch?v=fBUPABsKT1Y,53053
disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Mega Dance,W Dyskotece ( Radio Edit),31,PLP711500018,https://www.youtube.com/watch?v=3rXn1gxtp3E,24273
new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,The Associates,Party Fears Two,39,UKCUL8200008,https://www.youtube.com/watch?v=-Lx1_Add-z4,79518
new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,Arcadia,Election Day - 2010 Remaster,38,GBAYE0902799,https://www.youtube.com/watch?v=OgBgfHJcXuI,89288
new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,Toyah,It's a Mystery,37,GBXPL9431501,https://www.youtube.com/watch?v=MBf4g65ZAnI,49997
skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Fort Fairfield,"The Sky, Full of Birds",15,USDHM1308426,https://www.youtube.com/watch?v=JeXH5CILPBo,12423
disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,BIG DANCE,Cztery razy po dwa razy,27,PLG551200095,https://www.youtube.com/watch?v=Y0Gu_W3KlNo,51355
kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,"Tenkitsune,NGC",Lemon Soda,37,QM42K1604086,https://www.youtube.com/watch?v=3AYCtMln5Kg,47953
eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,Fastway,Spacelove - Extended,32,ITZE51800237,https://www.youtube.com/watch?v=6L3ONO5CNiM,44966
slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,Blaze U,Intoxicated,25,CH3132000259,https://www.youtube.com/watch?v=A3fK-0Tdbnk,32872
kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,Elliot Hsu,Fragment,36,QM42K2071957,https://www.youtube.com/watch?v=sw65yCzw_h0,47316
witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,//Tense//,The Chain,12,USYBL1002365,https://www.youtube.com/watch?v=nWPWSAYwS4A,20562
diva house,spotify:playlist:0kAFZCbHemKb8RxZhDPZbv,Roger S.,The Deep (Main Mix) [Mixed],8,AUXN22060049,https://www.youtube.com/watch?v=MAY_2kCSevk,4572
afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,"Loco X Eazzy,Prez",Trainers,26,TCAEU2024976,https://www.youtube.com/watch?v=HdRCHy3BTME,28783
eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,Hotblade,Showdown,26,ITA871366018,https://www.youtube.com/watch?v=80RpRsIH3SU,60312
afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,Charlie Mase,Smoke It Loud,16,TCADK1707140,https://www.youtube.com/watch?v=sHa4XQXR5x4,38585
kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,Kai Takahashi,Party Talk,32,TCJPD1548301,https://www.youtube.com/watch?v=0UfSbuemqPc,50500
afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,"C4 Muni,Faads",Reset,15,ZZOPM2001853,https://www.youtube.com/watch?v=eoBdmNsc-_w,27826
