yt_id,genre,maingenre,artist_name,track_name,track_pop,viewCount,track_isrc,bpm,dance,timbre,instr,voice,yt_link,pl_id,emb_path,emb_path_2,feat_path
1R2_VXvipUY,dutch house,house,"Funkastarz,D-Jastic",Twisted,26,8266,BED901221094,126.04335022,1.10345244408,0.999559879303,0.254557669163,0.194503396749,https://www.youtube.com/watch?v=1R2_VXvipUY,spotify:playlist:2A2qSpDa4K8gD55D7sDJe7,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/1R2_VXvipUY.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/1R2_VXvipUY.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/1R2_VXvipUY.json
jH8Yp7_BbSA,dutch house,house,"Skitzofrenix,Simon Kidzoo",Mikumi,21,36712,USNRS1736316,123.982391357,1.33709025383,0.281071394682,0.00289021176286,0.704035520554,https://www.youtube.com/watch?v=jH8Yp7_BbSA,spotify:playlist:2A2qSpDa4K8gD55D7sDJe7,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/jH8Yp7_BbSA.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/jH8Yp7_BbSA.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/jH8Yp7_BbSA.json
B3XTrch6u2E,dutch house,house,"Silvio Luz,Achex,Jennifer Dawn",Unity,12,17167,QZPLR2061463,122.971229553,1.79542255402,0.787294626236,0.11531804502,0.601410150528,https://www.youtube.com/watch?v=B3XTrch6u2E,spotify:playlist:2A2qSpDa4K8gD55D7sDJe7,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/B3XTrch6u2E.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/B3XTrch6u2E.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/B3XTrch6u2E.json
fIBrZ6MFnL8,electro swing,house,Varrick Frost,Luci´s Game,38,8842,CALVP2026237,124.956855774,1.36535215378,0.974603116512,0.0251786187291,0.528726696968,https://www.youtube.com/watch?v=fIBrZ6MFnL8,spotify:playlist:5oDNHd53EGh5BoiWGYIqH0,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/fIBrZ6MFnL8.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/fIBrZ6MFnL8.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/fIBrZ6MFnL8.json
RyWkHvIU8YU,electro swing,house,Nola Grey,Starlight - Radio Version,31,54599,ATE610900027,128.093811035,1.43222546577,0.322609812021,0.706692397594,0.97523856163,https://www.youtube.com/watch?v=RyWkHvIU8YU,spotify:playlist:5oDNHd53EGh5BoiWGYIqH0,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/RyWkHvIU8YU.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/RyWkHvIU8YU.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/RyWkHvIU8YU.json
oQ5KCJbiyVs,electro swing,house,Lazlo,Busy Line,29,57731,DEDW91100219,125.106414795,1.54262506962,0.41037017107,0.526604950428,0.760707139969,https://www.youtube.com/watch?v=oQ5KCJbiyVs,spotify:playlist:5oDNHd53EGh5BoiWGYIqH0,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/oQ5KCJbiyVs.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/oQ5KCJbiyVs.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/oQ5KCJbiyVs.json
H1IB6NyeY98,electro swing,house,"G-Swing,The Cotton Kids",I'm Crazy 'Bout My Baby (And My Baby's Crazy 'Bout me),23,98417,FR53R3900001,126.975753784,1.46333122253,0.988057672977,0.960700213909,0.60740685463,https://www.youtube.com/watch?v=H1IB6NyeY98,spotify:playlist:5oDNHd53EGh5BoiWGYIqH0,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/H1IB6NyeY98.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/H1IB6NyeY98.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/H1IB6NyeY98.json
LvukkoD9lxc,electro swing,house,Cyril Noir,Gal from Joe's (Black Kat Remix),20,29297,TCABM1348157,97.9798736572,1.33433878422,0.959832727909,0.850516438484,0.130500435829,https://www.youtube.com/watch?v=LvukkoD9lxc,spotify:playlist:5oDNHd53EGh5BoiWGYIqH0,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/LvukkoD9lxc.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/LvukkoD9lxc.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/LvukkoD9lxc.json
UUGt2D12haE,fidget house,house,Jack Beats,Catch The Spirit,34,6213,CA5KR1957778,125.069419861,1.10738575459,0.9945281744,0.0990102812648,0.979202568531,https://www.youtube.com/watch?v=UUGt2D12haE,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/UUGt2D12haE.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/UUGt2D12haE.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/UUGt2D12haE.json
hA7sSmH2AZk,fidget house,house,"Mixhell,Joe Goddard,Mutado Pintado,Soulwax",Crocodile Boots - Soulwax Remix,27,27034,GBJX35116004,103.004425049,1.88743591309,0.652216255665,0.797215282917,0.818494200706,https://www.youtube.com/watch?v=hA7sSmH2AZk,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/hA7sSmH2AZk.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/hA7sSmH2AZk.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/hA7sSmH2AZk.json
qtIjwklnisY,fidget house,house,"Rico Tubbs,Phlegmatic Dogs",Chemistry - Phlegmatic Dogs Remix,12,14046,QZ5FN1771442,123.927085876,1.2266356945,7.99813847152e-07,0.00138750125188,0.545105576515,https://www.youtube.com/watch?v=qtIjwklnisY,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/qtIjwklnisY.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/qtIjwklnisY.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/qtIjwklnisY.json
hPZB-wZp2PE,fidget house,house,"The Squatters,Little Nikki,Fawks",Rude Boy - Fawks Remix,12,110624,AUVC01530231,124.950202942,1.20288002491,0.959183692932,0.00327465450391,0.618576586246,https://www.youtube.com/watch?v=hPZB-wZp2PE,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/hPZB-wZp2PE.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/hPZB-wZp2PE.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/hPZB-wZp2PE.json
H-a0YirtI-M,fidget house,house,"Udachi,Jubilee",Smoke Rings,10,62684,USYBL1000472,129.991348267,1.37964510918,0.923392057419,0.017109554261,0.551699459553,https://www.youtube.com/watch?v=H-a0YirtI-M,spotify:playlist:6vat2V2zBVw4cVQyp62EBQ,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/H-a0YirtI-M.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/H-a0YirtI-M.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/H-a0YirtI-M.json
CdrwHnGvlQA,funky house,house,Hurlee,In The Sunshine,36,37875,GB7FY1800014,115.012573242,1.97622919083,0.466614842415,0.857408344746,0.832031786442,https://www.youtube.com/watch?v=CdrwHnGvlQA,spotify:playlist:1ZwOZItEvdtWZuTVFQfwJs,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/CdrwHnGvlQA.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/CdrwHnGvlQA.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/CdrwHnGvlQA.json
4izRzBKNTUQ,funky house,house,"Richard Grey,Lissat",Everyday Jumping - Original Mix,32,22247,DEPR32100131,121.992080688,1.26645839214,0.825346410275,0.00145789561793,0.874863862991,https://www.youtube.com/watch?v=4izRzBKNTUQ,spotify:playlist:1ZwOZItEvdtWZuTVFQfwJs,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/4izRzBKNTUQ.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/4izRzBKNTUQ.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/4izRzBKNTUQ.json
l3DOPm8MqrY,funky house,house,"Bobby D'Ambrosio,Michelle Weeks,Alaia & Gallo",The Day - Alaia & Gallo Remix,29,121194,USZ9A1850801,123.941833496,1.37656414509,0.994734585285,0.00294657610357,0.93930721283,https://www.youtube.com/watch?v=l3DOPm8MqrY,spotify:playlist:1ZwOZItEvdtWZuTVFQfwJs,/home/lorenzo/Data/longterm_data/effnet_filtered_20211124/l3DOPm8MqrY.npy,/home/lorenzo/Data/longterm_data/msd-musicnn-embeddings_20211124/l3DOPm8MqrY.npy,/home/lorenzo/Data/longterm_data/essentia_20211124/l3DOPm8MqrY.json
