genre	pl_id	artist_name	track_name	track_pop	track_isrc
dark ambient	spotify:playlist:1mhHpC0idew8lgWQkEJnOL	True Colour of Blood	Sisyphus	2	uscgh0847647
dark ambient	spotify:playlist:1mhHpC0idew8lgWQkEJnOL	Moljebka Pvlse	Chinshu	2	ushm80749665
dark ambient	spotify:playlist:1mhHpC0idew8lgWQkEJnOL	Cisfinitum	Bottomless	2	NLGJ30901552
dark ambient	spotify:playlist:1mhHpC0idew8lgWQkEJnOL	Archon Satani	II	2	GBAS91206302
dark psytrance	spotify:playlist:4p7LvTTcCt83rvC5tXPVnR	Ghreg On Earth	Cygnus Wakija - Original Mix	2	GBBYB1602556
dark psytrance	spotify:playlist:4p7LvTTcCt83rvC5tXPVnR	Paranoize,Conxion	The Rush	2	DEBL61258699
dark psytrance	spotify:playlist:4p7LvTTcCt83rvC5tXPVnR	Arahat,Mubali	Baaat Shiiitt	2	USA2P1241960
darkstep	spotify:playlist:2oUR5RTzUhtwJypKmhuxdG	Mystification,Hallucinator	Feel The Core - Hallucinator Remix	2	GB8KE1354238
darkstep	spotify:playlist:2oUR5RTzUhtwJypKmhuxdG	Peter Kurten,Zardonic	Alerte Rouge - Original Mix	2	USLZJ0905185
darkstep	spotify:playlist:2oUR5RTzUhtwJypKmhuxdG	Lucio De Rimanez,Dereck	I Scream	2	NLCK41012499
darkstep	spotify:playlist:2oUR5RTzUhtwJypKmhuxdG	Matar,Guyver	Feeling - Guyver Remix - Mix Cut	2	GBKQU1987826
darkstep	spotify:playlist:2oUR5RTzUhtwJypKmhuxdG	B Key	Final Conflict	2	GBQXF0330020
darksynth	spotify:playlist:7mr4rvyCkgD2fuNdPGYQw9	Timothy Fife	Projection To a Former Life	2	UK6821908230
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	The Vomit Arsonist	Slow Degradation	2	uscgh2035770
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Himukalt	I No Longer Belong	2	USA2Z2100220
death industrial	spotify:playlist:5Wh6LBCI5BX6VVLfkcJ1g6	Kollaps	Crucify	2	QM6MZ1980419
