session_id,PROLIFIC_PID,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Gender,Highest education level completed,Nationality,Sex,Student Status
626fe647d1e2c920ef38607a,60b78fab6f56675dc6eeb9f1,APPROVED,2022-05-02 14:10:17.167000,2022-05-02 14:12:34.915000,137.748,19,129,4,98,2022-05-02 14:26:18.705000,7ED80400,Spain,Spain,Unemployed (and job seeking),Spanish,"English, Spanish",Man (including Trans Male/Trans Man),Secondary education (e.g. GED/GCSE),Spain,Male,No
626fe6487825d9da22ea4c8d,617139bdf6dbf9169a30ad3a,APPROVED,2022-05-02 14:10:16.023000,2022-05-02 14:12:10.521000,114.498,27,134,0,100,2022-05-02 14:26:17.137000,7ED80400,Spain,Spain,Full-Time,Spanish,"English, Spanish, French",Man (including Trans Male/Trans Man),Undergraduate degree (BA/BSc/other),Spain,Male,DATA EXPIRED
626fe648e20e5ed4aa47b899,603e297ff27612c343ab3bb1,APPROVED,2022-05-02 14:10:19.669000,2022-05-02 14:12:27.616000,127.947,19,95,0,100,2022-05-02 14:26:38.204000,7ED80400,Portugal,Portugal,Other,Portuguese,"Portuguese, English",Woman (including Trans Female/Trans Woman),High school diploma/A-levels,Portugal,Female,Yes
626fe649a1a7e3913d98a785,5f01c00db92981305cc52a86,APPROVED,2022-05-02 14:10:17.363000,2022-05-02 14:18:19.809000,482.446,24,189,2,99,2022-05-02 14:26:21.335000,7ED80400,Portugal,Portugal,Part-Time,Portuguese,"Spanish, Portuguese, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Portugal,Female,No
626fe64a75d2ad467e39fa56,61057e9d6337073e16b410f7,APPROVED,2022-05-02 14:10:18.210000,2022-05-02 14:12:53.013000,154.803,23,52,1,100,2022-05-02 14:26:23.522000,7ED80400,Portugal,Portugal,Due to start a new job within the next month,Portuguese,"Portuguese, English, Spanish",Non-binary (would like to give more detail),Graduate degree (MA/MSc/MPhil/other),Portugal,Male,No
626fe64a95909a621022d7d2,5dc3485219ca0326027ce91f,APPROVED,2022-05-02 14:10:18.710000,2022-05-02 14:23:36.301000,797.591,25,520,2,100,2022-05-02 14:26:27.450000,7ED80400,Italy,Italy,Full-Time,Italian,"Italian, English",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Italy,Female,No
626fe64afaa2462dac901f0c,60017e06ec9b1e03b7f52c62,APPROVED,2022-05-02 14:10:18.431000,2022-05-02 14:13:55.025000,216.594,34,102,1,100,2022-05-02 14:26:26.366000,7ED80400,Spain,Spain,Full-Time,Catalan,"Catalan, Spanish, English",Woman (including Trans Female/Trans Woman),Graduate degree (MA/MSc/MPhil/other),Spain,Female,Yes
626fe64b0f3c8b15d4196e70,612e1d1fced5b29f9450b782,APPROVED,2022-05-02 14:10:19.018000,2022-05-02 14:12:21.340000,122.322,22,133,2,99,2022-05-02 14:26:35.304000,7ED80400,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Male,Yes
626fe64b1629e484a6f62c16,60b68fc2c92926cd9af2733b,APPROVED,2022-05-02 14:10:19.563000,2022-05-02 14:12:39.044000,139.481,22,84,1,100,2022-05-02 14:26:36.390000,7ED80400,Portugal,Portugal,Part-Time,Portuguese,"English, Portuguese, Spanish",Woman (including Trans Female/Trans Woman),Undergraduate degree (BA/BSc/other),Portugal,Female,Yes
626fe64b2c0b04a7d7403c81,5f1c21d9bfb35348529f81c7,APPROVED,2022-05-02 14:10:30.256000,2022-05-02 14:12:44.656000,134.4,22,209,0,100,2022-05-02 14:27:01.378000,7ED80400,Italy,Italy,Unemployed (and job seeking),Italian,"Italian, English",Man (including Trans Male/Trans Man),High school diploma/A-levels,Italy,Female,No
