genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
post-disco	disco	2RYQ6GVwDM9QtNOy4fgvAG	cVXURwACwtk	Kleeer	Tonight	USAT20109457	41	1335794	https://www.youtube.com/watch?v=cVXURwACwtk
post-disco	disco	2rfK6HmOOTmjXEmtsGr2DV	9tbS73I1N-I	Yarbrough & Peoples	Don't Stop The Music	USPR38009154	19	23646437	https://www.youtube.com/watch?v=9tbS73I1N-I
post-disco	disco	3eO590MvMxfHYBNFCVsUK6	XNdyZmN0ZGE	High Fashion	Feelin' Lucky Lately - Remastered	USCA20400365	39	97133	https://www.youtube.com/watch?v=XNdyZmN0ZGE
post-disco	disco	5XaBOlOPKJGnq3XFiS5ZHH	_MsQX3gehAk	Inner Life	I'm Caught up (In a One Night Love Affair) - 12” Edit	CAU117900316	41	32813	https://www.youtube.com/watch?v=_MsQX3gehAk
post-disco	disco	3KSVJqsgnuoXamBfXgWvVf	T1H70TCI08c	Bobby Thurston	Check Out the Groove	CAU118000521	38	143338	https://www.youtube.com/watch?v=T1H70TCI08c
post-disco	disco	1plCuPFkEbc05PB9np0q1P	UzsUd37xPXo	Brass Construction	Movin'	USUM71812268	39	4408800	https://www.youtube.com/watch?v=UzsUd37xPXo
post-disco	disco	657AuvSJPANciDfYJPZIgs	0yJJMAvmvRY	Lakeside	Fantastic Voyage - Extended	GBAJE8000060	40	12918	https://www.youtube.com/watch?v=0yJJMAvmvRY
post-disco	disco	7gKVkjwB2ny5D5YAR2TizA	4ERFvbvUJRE	Central Line	"Walking Into Sunshine - Original Larry Levan 12"" Mix"	USMR18289041	32	413494	https://www.youtube.com/watch?v=4ERFvbvUJRE
post-disco	disco	604AqelY9jjn9flIP1CeJ0	ssIvyNS294U	The Strikers	Body Music	CAU119917642	30	75259	https://www.youtube.com/watch?v=ssIvyNS294U
post-disco	disco	3Pr3O7bodhotFn5gGFOdP9	MN5GBxLZ-5o	Taana Gardner	Heartbeat - 2012 - Remaster	USUS11200427	32	4590	https://www.youtube.com/watch?v=MN5GBxLZ-5o
post-disco	disco	4qyrNAJUxJKRpYlTIZRL5O	7hYAvewQAA4	Cloud One	Dust to Dust	CAU117608424	40	7884	https://www.youtube.com/watch?v=7hYAvewQAA4
