genre	maingenre	sp_id	yt_id	artist_name	track_name	ISRC	pop	viewCount	yt_link
afro house	house	3iAveahTfg2T3whfN8h2gb	Oy6dJbAWUu8	Saint Evo	Tuhan	DEBE72100747	31	4333	https://www.youtube.com/watch?v=Oy6dJbAWUu8
afro house	house	4xK5t8A3yBO2GQWTlyvPJO	g8yhIbrwLgo	Native Tribe,Tina Ardor,Da Africa Deep	Jahera Na - Da Africa Deep Remix	FRX452038243	24	32197	https://www.youtube.com/watch?v=g8yhIbrwLgo
afro house	house	6ABHErMkKctWN1uTBnyU5s	oJNb6R4BuUI	Pippi Ciez,Idd Aziz	Riziki	UKSP42000090	36	25241	https://www.youtube.com/watch?v=oJNb6R4BuUI
afro house	house	3uZrw882JWVm554sgppbgU	9c8q0V-Q8dM	Soulroots,Soul Star	Vuka	QM7282104014	27	54075	https://www.youtube.com/watch?v=9c8q0V-Q8dM
afro house	house	6Zqg3N9PilNF5gc3fPRUEL	vlMcO1Npqv8	Nutty Nys	The Promise	ZAI0F2000021	33	26748	https://www.youtube.com/watch?v=vlMcO1Npqv8
afro house	house	7JuMuW7JIpQa3P9wZxaHIQ	--CJl2Iqaw4	Peppe Citarella,Mijangos,Manybeat	Bailando De Too	FR10S2070685	40	29213	https://www.youtube.com/watch?v=--CJl2Iqaw4
amapiano	house	3bi3IfHXusSIlCTC9ZIsr2	FgOVqant2Ok	Muziqal Tone,Sinny Man'Que,J&S Projects,LeeMcKrazy,Spizzy	Langa Elihle (feat. Spizzy & LeeMcKrazy)	ZA41S2101636	28	29281	https://www.youtube.com/watch?v=FgOVqant2Ok
amapiano	house	5Rr4vcvfwlu6xKTI69dudF	UB3Nq8wsvLE	Sinny Man'Que,Dj Jaivane,LeeMcKrazy	Birthday Ka Jaivane	ZA41S2101579	30	44644	https://www.youtube.com/watch?v=UB3Nq8wsvLE
amapiano	house	3Q7XHJ6dGqvS1XHtNO0qem	u4sHPPFYoKg	MDU a.k.a TRP,Bongza,Kabza De Small,Howard	Mjolo (feat. Kabza De Small & Howard)	ZAA012000108	36	52874	https://www.youtube.com/watch?v=u4sHPPFYoKg
amapiano	house	0cSV16yxPTOpw7I40yAP4n	0rfKgRFUv_w	Loxion Deep,Boohle	iJezi'elisha (Edit) (feat. Boohle)	ZAQJX2000038	32	26935	https://www.youtube.com/watch?v=0rfKgRFUv_w
amapiano	house	1ZrswgsuRcvCP5TuBgYcxO	hLAmQTX8vpA	Sfarzo Rtee,Josiah De Disciple	Tales	ZALN62100013	15	39135	https://www.youtube.com/watch?v=hLAmQTX8vpA
amapiano	house	400Za2VbQRjOciyCkRnZby	hNhNIA2Arrk	ATK Musiq,Muziqal Tone,Spizzy	Khongolose	DGA072172693	14	23670	https://www.youtube.com/watch?v=hNhNIA2Arrk
amapiano	house	7fDhci3bwbHM1wSdvU7OQI	l-Zyc7PqGRM	MalumNator,De Mthuda,Da Muziqal Chef,Sam Deep	Bedtime Stories	ZAUM72102138	24	13944	https://www.youtube.com/watch?v=l-Zyc7PqGRM
amapiano	house	7os8rEAi02bMqrAwfIKMDY	Hyth0L5sL9g	Mkeyz,De Mthuda	Ingoma (Bamba Amakhanda)	US23A1512274	21	4062	https://www.youtube.com/watch?v=Hyth0L5sL9g
amapiano	house	2B8LC4O0EsuNE7f1l0TYnk	fVbbgwqw1Yc	T-Man SA,Kwesta	Nongoloza	ZA56E2101790	25	4141	https://www.youtube.com/watch?v=fVbbgwqw1Yc
amapiano	house	1ytSu25W28pp9nS9cvxgbL	7OTJvrNnAIM	Ntandose,Liza Miro	It's Too Late	ZA82Y2100047	25	61819	https://www.youtube.com/watch?v=7OTJvrNnAIM
ambient	ambient	6k9epHaioQVz1PHdgCu3Oj	QaSw4KUd6uA	Steve Roach,Suspended Memories,Jorge Reyes,Suso Saiz	Saguaro	USAKS0600111	40	4349	https://www.youtube.com/watch?v=QaSw4KUd6uA
ambient	ambient	4JT4orneDAvaWkjUTuwShZ	c9cIQb5x7OA	Seefeel,AFX	Time To Find Me - AFX Fast Mix	GBBNZ9300032	40	32113	https://www.youtube.com/watch?v=c9cIQb5x7OA
ambient	ambient	54KPTl41PC7e2yf0oDjtC9	-qj-LoWuc5o	Benoît Pioulard,Zachary Gray	Margin - Zachary Gray Remix	QMDA71385998	40	7419	https://www.youtube.com/watch?v=-qj-LoWuc5o
ambient	ambient	6B39gfaskjt3HLNY5VXURS	gPQo9ovZOrs	Max Corbacho	Transept Sapphire Glass	ushm91035208	33	8951	https://www.youtube.com/watch?v=gPQo9ovZOrs
ambient	ambient	2onjvNGfKSTzj41eO0iB5P	1reVRB5cNfA	Between Interval	Gravity Core	USSP51616045	37	2731	https://www.youtube.com/watch?v=1reVRB5cNfA
ambient	ambient	2IhNMQ2aEeA0Kxh9Uw3tdb	Z2fneV8lfdc	David Helpling,Jon Jenkins	Sun Racer	USSP51390083	36	32626	https://www.youtube.com/watch?v=Z2fneV8lfdc
ambient	ambient	3P2BVkLWRakevBZtgMfImN	EC8FdUM-7gg	Thom Brennan	Afterglow	ushm20505359	34	3659	https://www.youtube.com/watch?v=EC8FdUM-7gg
ambient	ambient	0SQNWusYCDQGj7yh6720x3	_2fZfVNZ7fc	Bvdub	With Broken Wings and Giants Tall	QZNWU2159308	33	13364	https://www.youtube.com/watch?v=_2fZfVNZ7fc
ambient	ambient	4KvUvF2p3dwxYCbq4LswDA	96Ec-swB4Ik	Darshan Ambient	The Dreamer Slept But Did Not Dream	US4HD1000012	37	15143	https://www.youtube.com/watch?v=96Ec-swB4Ik
