genre	maingenre	t_id	artist_name	track_name	ISRC	pop
ambient dub techno	ambient	3vEpPUUjokzkGFeQ50i8m2	Sustainer	Cúantico	DEW280300089	15
ambient dub techno	ambient	1Np9lkehmi88U326PcScET	Bekeschus,Mathias Meindl	Delta Stream - Mathias Meindl Remix	DEH741003895	3
ambient dub techno	ambient	5ganAWbYqqqN2L1iIIz4Q7	Lars Leonhard	Northern Stargazer	FR26V1531233	19
ambient dub techno	ambient	1eDy7ZklzfmVY0euG59H5G	Deixis	States of Flux	NL-L56-08-01353	0
ambient dub techno	ambient	54ag2tAeqwKojZFXlX0GYw	Delyrian	Vortex	CH6540807902	0
ambient dub techno	ambient	029d6u6g3cb8U1mslP6YQx	Gradient	Memories Are Always With Us	FR9W11305051	0
ambient dub techno	ambient	66EhWSUgwcCXKKtUGltdR8	Roberto Figus	Yellow Dub	DEH741210982	7
ambient dub techno	ambient	6Pgdz7OLi0gO0JRm01c5Oj	Yabuzch	Orb	CA5KR1525942	1
ambient dub techno	ambient	3Y03NQlAFMYCRrgYQQCX39	Dimomib	Urban Echoes - Original Mix	USLZJ0905932	2
ambient dub techno	ambient	7aDiBwZFofK9rhORNVhVXc	Fabio Scalabroni	Asymmetric	FR6V81251109	1
ambient dub techno	ambient	0NJQuQZf9Yh6fgmn9WwbQl	Fischerle	Ulung	FR9W11201237	3
ambient dub techno	ambient	3fM9RwaojYzuywYyfHutet	Grad_U	In Space	GBKQU1904004	18
ambient dub techno	ambient	2wE0CGtoVzY8tSf4JIenzt	Weight and Treble	Planets in Heaven - Hieronymus Dub	DEH741112502	3
ambient dub techno	ambient	1627BkM7u3QbKjn3zPSwSK	Pulse Code Modulation	Welle	USMNA1400109	1
ambient dub techno	ambient	0VDtNp4rYZVJCE5qk3V1wu	Urenga	Oceans Secret - Original	DEAR41211911	3
ambient dub techno	ambient	0j9SI20zavBtkZQnOindHL	Stereopathy	Provocative Crises	BGA471300714	1
ambient dub techno	ambient	1wCJbcahGQePwoiklorJ7g	Lifephorm	Circulations - Original Mix	DEAR41213158	1
ambient dub techno	ambient	1UK6UkOjADWC2ORoCAxHyZ	Idlemode	Newstate	ushm91006396	0
ambient dub techno	ambient	3E8NbYQloDFdlqhy9MOwXK	The Nautilus Project	Left & Lost - Original Mix	GBKQU1318917	6
ambient dub techno	ambient	60aDY6y4PNq9PaDvQRfKLn	Esse	Daleko	DECH60911705	12
ambient dub techno	ambient	2CESdnSEMQ7c31aLqGjjEg	Atheus	Rhythm and Chord	USHM81004188	14
ambient dub techno	ambient	2BC55m8fO8lMeOqAF7sG11	Organon	In Speciem	DECH60912580	27
ambient dub techno	ambient	48UKUAR3aei4oghaoWF1x9	Dreiton	Connecter	DEBL60436079	1
ambient dub techno	ambient	7abbIQ4GTrWEftYds2aKUk	Moolsaasa	53 Dub	CH6540820254	2
ambient dub techno	ambient	5mIJIiAM2dBuWov4aWWlap	GRIT	Traction	DEFC70900018	15
ambient dub techno	ambient	7FXf57T97e5XC2ltfnnAnt	DJ Lab	Walk Through - Echospace Redub	DEU671501271	8
ambient dub techno	ambient	05MXrmt6nFA1YPKjPYe6j3	Spaceci	High Flight	USLZJ1900994	1
