maingenre,genre,count,mean,std,min,q1,q2,q3,max
hardcore,terrorcore,2.0,12.0,4.242640687119285,9.0,10.5,12.0,13.5,15.0,
hardcore,trancecore,10.0,23.7,13.752171545694965,9.0,10.25,21.5,38.75,39.0,
hardstyle,hardstyle,7.0,31.857142857142858,4.059087394500207,24.0,31.0,32.0,34.0,37.0,
hardstyle,euphoric hardstyle,8.0,31.625,5.578978401105349,23.0,27.5,33.0,35.0,40.0,
hardstyle,jumpstyle,10.0,17.7,5.926400443964466,9.0,14.5,17.5,20.75,30.0,
hardstyle,rawstyle,10.0,37.0,2.581988897471611,33.0,35.0,37.0,38.75,41.0,
hauntology,hauntology,9.0,26.88888888888889,10.313152336269988,10.0,20.0,30.0,36.0,38.0,
hauntology,chillwave,9.0,28.666666666666668,8.411301920630361,14.0,25.0,31.0,37.0,38.0,
hauntology,synthwave,10.0,36.8,3.011090610836324,31.0,35.25,37.0,38.75,41.0,
hauntology,darksynth,10.0,26.8,10.228500487472356,12.0,18.75,26.5,35.5,41.0,
hauntology,sovietwave,10.0,23.7,8.48593607748203,14.0,15.25,24.5,30.0,38.0,
hauntology,vaporwave,7.0,31.571428571428573,5.563486402641868,26.0,27.5,29.0,35.0,41.0,
hauntology,future funk,7.0,33.714285714285715,7.040698017343776,20.0,32.0,37.0,37.0,41.0,
hauntology,hardvapour,10.0,29.5,8.885068623507893,16.0,22.75,30.5,37.0,40.0,
house,house,1.0,41.0,"""""",41.0,41.0,41.0,41.0,41.0,
house,acid house,10.0,26.7,9.298147963737486,13.0,18.75,29.0,34.75,36.0,
house,afro house,10.0,33.2,5.223876806442595,24.0,31.25,32.5,36.75,40.0,
house,amapiano,10.0,25.0,7.007932013876213,14.0,21.75,25.0,29.5,36.0,
house,gqom,10.0,17.5,8.209073570683167,10.0,12.0,13.0,21.25,35.0,
house,kwaito,10.0,23.7,7.832269431297958,9.0,20.25,22.0,26.0,37.0,
house,ambient house,10.0,24.7,10.033831659828552,9.0,15.75,29.5,32.75,35.0,
house,bass house,10.0,36.2,4.237399621885521,28.0,37.0,37.5,38.0,41.0,
house,brazilian bass,10.0,20.7,8.446564061465729,10.0,13.75,18.5,27.75,34.0,
house,slap house,8.0,34.875,5.02671434864337,26.0,32.0,37.5,38.0,40.0,
house,chicago house,10.0,27.4,4.971027168615266,21.0,22.75,28.0,29.75,36.0,
house,deep house,9.0,28.22222222222222,7.628528327563872,20.0,23.0,26.0,35.0,40.0,
house,disco house,7.0,36.714285714285715,3.6384193323605842,32.0,34.0,37.0,39.5,41.0,
house,diva house,10.0,17.8,11.350966674448676,10.0,10.25,12.5,18.25,41.0,
house,complextro,10.0,27.4,12.997435644515933,10.0,14.25,28.5,40.0,41.0,
house,dutch house,10.0,23.3,10.583530181896355,9.0,14.75,23.5,32.0,37.0,
house,fidget house,10.0,17.1,7.534365710971739,9.0,11.25,14.5,24.0,28.0,
house,melbourne bounce,10.0,24.4,11.682845924212511,9.0,15.25,20.0,34.0,41.0,
house,electro swing,10.0,32.4,8.909420731886994,11.0,33.25,35.0,37.5,41.0,
house,deep euro house,10.0,28.4,10.221980673474633,13.0,19.25,34.5,36.5,38.0,
house,funky house,10.0,30.1,8.412292592787454,16.0,28.25,30.0,36.25,40.0,
house,future house,10.0,28.4,10.28699286585843,13.0,20.0,32.5,36.25,39.0,
house,garage house,10.0,17.5,7.276293317647691,10.0,12.75,16.5,18.75,36.0,
house,ghettotech,10.0,23.4,9.22797678559908,11.0,16.5,21.5,30.0,39.0,
house,italo house,10.0,22.6,10.405126941400892,12.0,15.25,19.5,28.5,41.0,
house,jazz house,10.0,30.3,8.628763269180327,16.0,22.75,34.0,36.0,40.0,
house,latin house,10.0,25.1,9.527154174603591,13.0,22.0,22.5,28.25,41.0,
house,microhouse,10.0,34.4,5.501514942874069,24.0,33.25,36.0,37.75,41.0,
house,moombahton,10.0,21.7,10.87351522431147,9.0,11.25,22.0,28.5,39.0,
house,outsider house,10.0,29.6,9.106774035482232,15.0,24.5,32.0,35.5,41.0,
house,progressive house,10.0,37.8,3.2930904093942583,32.0,35.0,39.0,40.75,41.0,
house,soulful house,10.0,26.8,7.955431408094026,16.0,21.0,27.0,34.5,36.0,
house,tech house,10.0,30.8,9.897249898611005,9.0,27.0,32.0,38.5,41.0,
house,tribal house,10.0,24.8,8.066391179868893,10.0,20.25,24.0,31.25,36.0,
house,hard bass,10.0,26.1,9.386160024205852,12.0,19.0,27.5,32.5,39.0,
IDM,intelligent dance music,6.0,29.5,8.526429498916883,19.0,22.5,30.0,36.75,39.0,
IDM,drill and bass,8.0,25.75,8.514693182963201,13.0,21.25,26.5,30.0,37.0,
IDM,glitch,10.0,23.5,7.321960878829599,16.0,17.25,22.5,25.75,39.0,
IDM,glitch hop,10.0,30.3,8.246884933786278,11.0,30.25,33.0,35.0,38.0,
noise,japanoise,9.0,21.88888888888889,9.413347497628626,9.0,15.0,21.0,32.0,35.0,
noise,power electronics,8.0,16.75,6.860862086606068,10.0,10.75,16.5,19.0,30.0,
noise,death industrial,9.0,23.444444444444443,8.819171036881968,9.0,18.0,23.0,32.0,36.0,
noise,power noise,10.0,17.3,6.700746227100382,9.0,12.25,16.5,20.25,32.0,
plunderphonics,plunderphonics,5.0,13.8,4.147288270665544,9.0,11.0,13.0,17.0,19.0,
techno,techno,10.0,25.5,5.338539126015656,16.0,23.0,26.5,28.75,33.0,
techno,acid techno,10.0,23.7,9.381423725166192,9.0,18.5,23.0,31.25,39.0,
techno,ambient techno,10.0,19.5,8.922505876216116,10.0,12.0,18.0,25.25,38.0,
techno,berlin minimal techno,1.0,19.0,"""""",19.0,19.0,19.0,19.0,19.0,
techno,bleep techno,10.0,21.5,10.51189802081432,9.0,13.75,17.5,28.75,40.0,
techno,detroit techno,10.0,23.7,9.117138927438926,9.0,17.25,26.5,30.5,36.0,
