participant	af1:1	af1:2	af1:3	af1:4	af1:5	af1:6	af1:7	af1:8	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	att0:1	att0:2	att0:3	att0:4	att1:1	att1:2	att1:3	att1:4	testexperiment:1	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.a374631f-b8f7-4e9b-9745-4aba65139b09.txt	3	3	5	4	4	1	1	3	1	1	1	1	2	4	3	5	3	3	3	3	3	iat.2022-06-11-1259.data.a374631f-b8f7-4e9b-9745-4aba65139b09.txt	605663e5147a7b66e6853a0b	628b823c2fe262fcba0309de	62a47397c975931ac5bb0b02	2022-06-11-12-51	2022-06-11-12-59	8
s.af68d7eb-7835-453f-b7ba-23c28fa1720d.txt	1	3	5	5	2	1	1	3	1	1	1	1	1	5	5	2	1	3	2	3	1	iat.2022-06-11-1250.data.af68d7eb-7835-453f-b7ba-23c28fa1720d.txt	613d091096ca434d703f77c5	628b823c2fe262fcba0309de	62a4716f9a57ef6eb20cb7de	2022-06-11-12-42	2022-06-11-12-50	8
s.6460212f-fb69-4a7a-8ad7-036086391da0.txt	1	1	4	2	1	1	1	1	1	1	2	2	2	1	2	1	2	3	3	4	2	iat.2022-06-11-1241.data.6460212f-fb69-4a7a-8ad7-036086391da0.txt	5ef36b13c358120b8508ab5d	628b823c2fe262fcba0309de	62a46f86bb97d9a92309892a	2022-06-11-12-34	2022-06-11-12-41	7
s.b926122e-a564-4a06-a89f-b25c77523c49.txt	1	2	4	4	3	1	1	1	1	1	1	2	2	4	3	2	3	5	3	4	1	iat.2022-06-11-1238.data.b926122e-a564-4a06-a89f-b25c77523c49.txt	612fe64ec0e4e3b001e553ef	628b823c2fe262fcba0309de	62a46e8973585cac229e4834	2022-06-11-12-29	2022-06-11-12-38	9
s.e6085b13-0d2a-48bf-bd50-f0716524065e.txt	1	2	4	4	2	1	3	2	1	1	2	2	2	5	4	1	2	4	2	4	2	iat.2022-06-11-1236.data.e6085b13-0d2a-48bf-bd50-f0716524065e.txt	61641b8573a9dcd29ba9d87b	628b823c2fe262fcba0309de	62a46df0db4f0622b6cf8e89	2022-06-11-12-27	2022-06-11-12-36	9
s.bb0664be-7038-4114-8e95-7ab0c3872675.txt	3	4	5	4	2	1	1	2	1	1	1	1	2	4	4	2	3	3	3	4	2	iat.2022-06-11-1220.data.bb0664be-7038-4114-8e95-7ab0c3872675.txt	5ecd600061398f0bffb5ccef	628b823c2fe262fcba0309de	62a46a7046e47cae92b679e3	2022-06-11-12-12	2022-06-11-12-20	8
s.df6953c9-ff3e-4292-8bff-2ef92e5e56af.txt	2	2	1	2	1	1	2	2	1	1	1	2	2	4	4	1	2	3	3	3	1	iat.2022-06-11-1205.data.df6953c9-ff3e-4292-8bff-2ef92e5e56af.txt	5d8346167ed176001888204d	628b823c2fe262fcba0309de	62a4665b5740c4469dbf21dc	2022-06-11-11-56	2022-06-11-12-05	9
s.4aaea68c-e6b8-443f-8f7d-956c54c8e7c4.txt	2	3	4	4	3	1	2	2	1	1	1	1	1	4	4	4	2	3	3	3	2	iat.2022-06-11-1201.data.4aaea68c-e6b8-443f-8f7d-956c54c8e7c4.txt	5f8eed755fcafb0baa531301	628b823c2fe262fcba0309de	62a46551dd6cf2cee3019057	2022-06-11-11-50	2022-06-11-12-01	11
s.889a42da-7907-403a-a6c8-4e047679b79f.txt	2	2	5	3	3	1	1	1	1	1	1	1	1	4	2	2	1	4	1	4	2	iat.2022-06-11-1152.data.889a42da-7907-403a-a6c8-4e047679b79f.txt	6166e78051425fa22de68491	628b823c2fe262fcba0309de	62a463977d7282d638889c17	2022-06-11-11-43	2022-06-11-11-52	9
s.25d3f0aa-78b9-4449-a2d6-f37391f4e3a4.txt	2	4	5	5	3	2	2	2	1	1	1	1	2	5	5	4	4	4	2	4	2	iat.2022-06-11-1145.data.25d3f0aa-78b9-4449-a2d6-f37391f4e3a4.txt	5c39af407aa30a0001ffac91	628b823c2fe262fcba0309de	62a46208dac890947e6a16d9	2022-06-11-11-36	2022-06-11-11-45	9
s.cd392328-88bb-4056-9e53-d936a5c6e055.txt	3	4	5	4	2	2	3	4	1	1	2	2	2	4	5	2	3	3	3	3	2	iat.2022-06-11-1143.data.cd392328-88bb-4056-9e53-d936a5c6e055.txt	5f8f1d38e25d2b1306f8e554	628b823c2fe262fcba0309de	62a4617461e9873e16a5120b	2022-06-11-11-33	2022-06-11-11-43	10
s.afea7ab5-a505-4022-9a05-995a5014df7f.txt	2	2	3	3	1	1	2	2	1	1	1	1	2	5	4	2	2	4	2	4	2	iat.2022-06-11-1135.data.afea7ab5-a505-4022-9a05-995a5014df7f.txt	5d70ec2138ac7e00012f817b	628b823c2fe262fcba0309de	62a45fd60c0872018c7ee923	2022-06-11-11-26	2022-06-11-11-35	9
s.d3fce137-905a-49c9-81a3-3513b31b06f6.txt	1	2	5	5	4	1	2	2	2	2	2	1	2	5	5	2	2	3	2	4	2	iat.2022-06-11-1130.data.d3fce137-905a-49c9-81a3-3513b31b06f6.txt	6145dddfa6fcfd396e1f4f1a	628b823c2fe262fcba0309de	62a45ea82067fac77ba59912	2022-06-11-11-22	2022-06-11-11-30	8
s.ca1b6532-271b-4c05-b0c4-ec16a018341f.txt	1	4	5	4	4	1	1	4	1	1	1	1	2	5	2	1	1	5	1	5	2	iat.2022-06-11-1124.data.ca1b6532-271b-4c05-b0c4-ec16a018341f.txt	612ccc537fd00ae8b3e8b95f	628b823c2fe262fcba0309de	62a45d6faa3e74f05a89171e	2022-06-11-11-16	2022-06-11-11-24	8
s.aa729051-cc2d-4297-828c-3d007046b8f8.txt	2	4	4	4	2	1	1	2	1	1	1	1	1	5	4	3	2	4	3	3	2	iat.2022-06-11-1122.data.aa729051-cc2d-4297-828c-3d007046b8f8.txt	5f11ccbc1a1a2c08b4a99efb	628b823c2fe262fcba0309de	62a45d1306c9a6be27f481ee	2022-06-11-11-15	2022-06-11-11-22	7
s.b0db7eff-65ab-4a50-8125-6ec6971d0bfc.txt	1	3	5	4	3	1	1	1	1	1	1	2	2	4	2	2	2	4	2	4	2	iat.2022-06-11-1123.data.b0db7eff-65ab-4a50-8125-6ec6971d0bfc.txt	609e866bea124d8bae2e1ce8	628b823c2fe262fcba0309de	62a45c93582966b2588c5e4c	2022-06-11-11-13	2022-06-11-11-23	10
s.cc87da4c-f29c-412d-b02c-f86b1f88b5a9.txt	4	4	5	4	3	2	3	2	1	1	1	1	1	2	5	2	3	4	2	4	1	iat.2022-06-11-1114.data.cc87da4c-f29c-412d-b02c-f86b1f88b5a9.txt	5e92f26b444572122fdfe44d	628b823c2fe262fcba0309de	62a45a5b7dbe5c83fecb4521	2022-06-11-11-03	2022-06-11-11-14	11
s.64a259d4-c8b0-40d8-94b8-7bdc6bf57921.txt	1	3	5	5	3	1	1	1	1	1	1	1	2	4	5	2	2	3	3	3	3	iat.2022-06-11-1111.data.64a259d4-c8b0-40d8-94b8-7bdc6bf57921.txt	608539cd54e4230bbaaf4959	628b823c2fe262fcba0309de	62a45a030fd4642e6304e5a6	2022-06-11-11-02	2022-06-11-11-11	9
s.1ad15439-341c-4ce3-ad67-08e9b319bac9.txt	1	1	4	4	1	1	1	1	1	1	1	1	2	4	5	1	3	4	3	4	1	iat.2022-06-11-1114.data.1ad15439-341c-4ce3-ad67-08e9b319bac9.txt	615e2e6bb4b4ab6fa6f6086f	628b823c2fe262fcba0309de	62a459eee4b186b60ad10ce4	2022-06-11-11-01	2022-06-11-11-14	13
