username,group,phase,genres_unique,genres_count,EM_genres_unique,EM_genres_unique_p,EM_genres_count,EM_genres_count_p,EM_genres_top_head_p,Jaccard_top5_genres,Jaccard_top10_genres,Jaccard_top20_genres,gini_genres,gini_EM_genres,artists_unique,artists_count,EM_artists_unique,EM_artists_unique_p,EM_artists_count,EM_artists_count_p,EM_artists_top_head_p,Jaccard_top5_artists,Jaccard_top10_artists,Jaccard_top20_artists,gini_artists,gini_EM_artists,tracks_unique,tracks_count,EM_tracks_unique,EM_tracks_unique_p,EM_tracks_count,EM_tracks_count_p,EM_tracks_top_head_p,Jaccard_top5_tracks,Jaccard_top10_tracks,Jaccard_top20_tracks,gini_tracks,gini_EM_tracks
martagmp,HD,PRE,229,4339,49,21.4,1689,38.93,6.99,0.25,0.33,0.25,0.79,0.78,532,2046,332,62.41,1226,59.92,11.84,0.43,0.33,0.25,0.56,0.53,444,1220,230,51.8,602,49.34,9.91,0.25,0.18,0.29,0.51,0.47
janybatista,LD,PRE,71,975,7,9.86,18,1.85,0.0,0.0,0.0,0.0,0.66,0.32,73,489,8,10.96,13,2.66,0.0,0.0,0.0,0.0,0.57,0.26,98,391,7,7.14,9,2.3,0.0,0.0,0.0,0.0,0.55,0.19
Francisca,LD,PRE,266,7902,30,11.28,229,2.9,0.75,0.0,0.0,0.0,0.81,0.53,518,3813,49,9.46,186,4.88,1.35,0.0,0.0,0.0,0.65,0.43,740,2587,28,3.78,103,3.98,0.68,0.0,0.0,0.0,0.46,0.36
afonsoveiga,HD,PRE,416,24692,16,3.85,187,0.76,0.0,0.0,0.0,0.0,0.81,0.68,666,11609,34,5.11,234,2.02,0.3,0.0,0.0,0.0,0.76,0.69,1399,8736,42,3.0,175,2.0,0.21,0.0,0.0,0.0,0.64,0.64
ruipedro3,LD,PRE,486,11736,35,7.2,705,6.01,1.44,0.0,0.0,0.03,0.8,0.73,1278,3940,133,10.41,617,15.66,3.21,0.0,0.0,0.11,0.56,0.58,1766,3207,107,6.06,332,10.35,2.04,0.0,0.11,0.18,0.37,0.52
tommyjarvis,LD,PRE,306,2104,15,4.9,91,4.33,0.65,0.0,0.05,0.03,0.61,0.57,316,727,32,10.13,87,11.97,1.58,0.11,0.05,0.03,0.42,0.54,390,599,55,14.1,78,13.02,3.08,0.11,0.11,0.05,0.27,0.24
RedPeppermint,HD,PRE,187,4348,1,0.53,6,0.14,0.0,0.0,0.0,0.0,0.8,0.0,143,1177,1,0.7,6,0.51,0.0,0.0,0.0,0.0,0.72,0.0,426,1109,6,1.41,6,0.54,0.0,0.0,0.0,0.0,0.49,0.0
Manhento,HD,PRE,223,7726,21,9.42,141,1.83,0.45,0.0,0.0,0.0,0.81,0.63,547,3746,39,7.13,180,4.81,0.37,0.0,0.0,0.0,0.69,0.61,930,2414,50,5.38,115,4.76,1.4,0.0,0.0,0.0,0.53,0.39
popu,LD,PRE,77,1844,7,9.09,17,0.92,1.3,0.0,0.0,0.04,0.89,0.45,91,922,11,12.09,14,1.52,1.1,0.0,0.0,0.03,0.86,0.18,203,841,9,4.43,9,1.07,0.0,0.0,0.0,0.0,0.59,0.0
Inês,LD,PRE,368,2928,15,4.08,40,1.37,0.27,0.0,0.0,0.0,0.7,0.45,430,1205,27,6.28,43,3.57,0.23,0.0,0.0,0.0,0.55,0.28,625,1041,28,4.48,35,3.36,0.48,0.0,0.0,0.0,0.34,0.17
deniseterzi,HD,PRE,102,740,1,0.98,2,0.27,0.0,0.0,0.0,0.0,0.74,0.0,143,567,2,1.4,4,0.71,0.0,0.0,0.0,0.0,0.65,0.0,212,364,1,0.47,2,0.55,0.0,0.0,0.0,0.0,0.32,0.0
Apex23,HD,PRE,42,10754,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.86,,285,6828,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.82,,770,4481,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.51,
ippo,LD,PRE,300,3217,9,3.0,46,1.43,0.33,0.0,0.0,0.0,0.71,0.32,559,1499,10,1.79,32,2.13,0.36,0.0,0.0,0.0,0.42,0.22,546,1254,7,1.28,20,1.59,0.55,0.0,0.0,0.0,0.36,0.26
An_Oxygen_Consumer,HD,PRE,210,2423,9,4.29,28,1.16,0.0,0.0,0.0,0.0,0.74,0.53,165,882,7,4.24,20,2.27,1.82,0.0,0.0,0.0,0.7,0.39,290,722,6,2.07,19,2.63,1.03,0.0,0.0,0.0,0.46,0.36
Alba_hontoria_96,HD,PRE,169,2674,6,3.55,22,0.82,0.0,0.0,0.0,0.0,0.71,0.38,390,1444,11,2.82,33,2.29,0.26,0.0,0.0,0.0,0.55,0.29,584,1013,7,1.2,14,1.38,0.34,0.0,0.0,0.04,0.31,0.31
BlueGiuly,LD,PRE,147,10586,11,7.48,268,2.53,1.36,0.0,0.05,0.07,0.89,0.7,391,5657,50,12.79,261,4.61,0.51,0.0,0.0,0.03,0.78,0.63,796,4746,30,3.77,158,3.33,0.63,0.0,0.0,0.03,0.63,0.68
aritahierro,HD,PRE,396,3773,47,11.87,225,5.96,1.77,0.0,0.0,0.0,0.73,0.58,336,1044,80,23.81,187,17.91,4.17,0.0,0.05,0.11,0.56,0.49,604,963,125,20.7,156,16.2,1.99,0.0,0.05,0.05,0.33,0.18
SofiiFreitas,LD,PRE,88,1528,1,1.14,1,0.07,0.0,0.0,0.0,0.0,0.79,0.0,142,746,2,1.41,2,0.27,0.0,0.0,0.0,0.0,0.68,0.0,291,627,1,0.34,1,0.16,0.0,0.0,0.0,0.0,0.39,0.0
gabriverce,HD,PRE,48,559,4,8.33,9,1.61,0.0,0.0,0.0,0.04,0.72,0.36,77,384,11,14.29,16,4.17,0.0,0.0,0.0,0.0,0.68,0.27,127,291,8,6.3,8,2.75,0.0,0.0,0.0,0.0,0.49,0.0
RicardoCoelho8,HD,PRE,258,8493,25,9.69,471,5.55,1.55,0.0,0.0,0.03,0.77,0.75,638,7075,76,11.91,706,9.98,0.63,0.11,0.05,0.03,0.63,0.66,857,4661,90,10.5,375,8.05,0.93,0.0,0.0,0.0,0.57,0.47
outofljfe,LD,PRE,246,3749,13,5.28,166,4.43,0.41,0.11,0.05,0.03,0.67,0.71,219,1234,18,8.22,127,10.29,2.28,0.11,0.05,0.03,0.62,0.72,304,1083,21,6.91,114,10.53,1.64,0.11,0.05,0.05,0.58,0.7
nowhereknows,LD,PRE,307,6908,13,4.23,184,2.66,0.33,0.0,0.0,0.03,0.8,0.68,482,4014,45,9.34,195,4.86,0.0,0.0,0.0,0.0,0.72,0.7,866,3357,53,6.12,151,4.5,0.69,0.0,0.05,0.03,0.53,0.51
dfilipa98,HD,PRE,201,5224,9,4.48,110,2.11,0.5,0.0,0.0,0.0,0.75,0.66,278,2310,27,9.71,146,6.32,1.08,0.0,0.05,0.08,0.71,0.68,502,2078,25,4.98,93,4.48,0.8,0.0,0.05,0.03,0.55,0.51
Lostveneto,LD,PRE,79,17572,5,6.33,5,0.03,0.0,0.0,0.0,0.0,0.82,0.0,51,4022,2,3.92,2,0.05,0.0,0.0,0.0,0.0,0.77,0.0,228,3911,1,0.44,1,0.03,0.0,0.0,0.0,0.0,0.7,0.0
itsmatild,HD,PRE,270,2281,27,10.0,114,5.0,1.48,0.0,0.0,0.03,0.73,0.63,410,1088,44,10.73,89,8.18,0.98,0.0,0.05,0.08,0.51,0.43,485,823,30,6.19,50,6.08,1.24,0.0,0.05,0.03,0.35,0.34
diogojf,HD,PRE,151,4785,6,3.97,40,0.84,0.66,0.0,0.0,0.0,0.87,0.6,228,2604,22,9.65,85,3.26,0.88,0.0,0.0,0.03,0.8,0.61,375,1379,23,6.13,38,2.76,0.27,0.0,0.0,0.03,0.55,0.37
Ramiroowww,HD,PRE,292,3840,40,13.7,415,10.81,2.74,0.0,0.05,0.05,0.71,0.6,590,2047,122,20.68,308,15.05,3.39,0.0,0.0,0.05,0.56,0.47,684,1334,102,14.91,194,14.54,2.78,0.11,0.11,0.11,0.39,0.39
Ile.96,LD,PRE,183,1272,18,9.84,83,6.53,2.19,0.0,0.0,0.03,0.67,0.52,319,830,50,15.67,92,11.08,1.25,0.11,0.05,0.03,0.46,0.36,279,527,35,12.54,53,10.06,1.43,0.0,0.0,0.05,0.36,0.26
Gon1507,HD,PRE,92,8738,11,11.96,154,1.76,0.0,0.0,0.0,0.0,0.9,0.45,138,7278,14,10.14,137,1.88,1.45,0.0,0.0,0.0,0.9,0.5,285,7027,9,3.16,78,1.11,1.05,0.0,0.0,0.0,0.84,0.55
MayaIaia4,HD,PRE,323,5690,21,6.5,109,1.92,0.62,0.0,0.0,0.0,0.77,0.55,757,2966,49,6.47,112,3.78,0.92,0.0,0.0,0.0,0.61,0.46,1181,2180,53,4.49,71,3.26,0.42,0.0,0.0,0.0,0.37,0.22
anasofiamachado,LD,PRE,213,1620,20,9.39,97,5.99,1.88,0.0,0.0,0.03,0.72,0.58,248,633,41,16.53,85,13.43,1.21,0.0,0.11,0.05,0.51,0.43,265,486,26,9.81,43,8.85,1.13,0.11,0.05,0.05,0.37,0.33
Branky,HD,PRE,243,2415,11,4.53,22,0.91,0.0,0.0,0.0,0.0,0.69,0.37,216,691,17,7.87,26,3.76,0.0,0.0,0.0,0.0,0.53,0.16,377,549,11,2.92,17,3.1,1.06,0.0,0.0,0.0,0.24,0.16
silvawestcoast,LD,PRE,368,8175,29,7.88,484,5.92,1.36,0.0,0.05,0.05,0.81,0.8,773,3698,90,11.64,512,13.85,3.23,0.11,0.05,0.11,0.54,0.65,1079,3011,86,7.97,364,12.09,3.43,0.0,0.0,0.14,0.43,0.43
Holt92,HD,PRE,327,17388,73,22.32,9242,53.15,8.56,0.67,0.33,0.38,0.8,0.75,1257,12858,650,51.71,6609,51.4,9.55,0.11,0.25,0.21,0.58,0.51,1078,7883,470,43.6,3380,42.88,8.35,0.25,0.25,0.18,0.53,0.45
sarafdelgado,LD,PRE,357,2846,50,14.01,430,15.11,3.64,0.0,0.05,0.08,0.69,0.63,426,1036,136,31.92,281,27.12,7.04,0.0,0.05,0.08,0.48,0.38,589,823,97,16.47,151,18.35,4.24,0.11,0.11,0.14,0.24,0.28
CarolFrancis,HD,PRE,368,4128,24,6.52,318,7.7,1.63,0.0,0.11,0.05,0.71,0.7,877,2159,122,13.91,381,17.65,2.39,0.25,0.11,0.08,0.46,0.57,1023,1626,145,14.17,274,16.85,4.69,0.25,0.25,0.14,0.29,0.34
axel22,HD,PRE,236,7869,48,20.34,2336,29.69,7.2,0.11,0.18,0.14,0.8,0.73,472,3856,220,46.61,2034,52.75,12.5,0.11,0.11,0.25,0.65,0.6,636,2501,162,25.47,1088,43.5,9.91,0.43,0.67,0.67,0.57,0.56
5ea1c3f3e9fb240a9b243e18,HD,PRE,129,707,10,7.75,14,1.98,0.0,0.0,0.0,0.0,0.61,0.17,181,639,6,3.31,12,1.88,0.0,0.0,0.0,0.0,0.59,0.22,181,531,4,2.21,6,1.13,0.0,0.0,0.0,0.0,0.55,0.17
ilvapleuvoir,HD,PRE,127,5598,6,4.72,41,0.73,0.0,0.0,0.0,0.0,0.85,0.28,221,2700,13,5.88,69,2.56,0.0,0.0,0.0,0.0,0.75,0.37,401,2245,5,1.25,21,0.94,0.25,0.0,0.0,0.0,0.65,0.46
olline,HD,PRE,217,2725,22,10.14,331,12.15,1.84,0.25,0.11,0.08,0.72,0.75,319,1162,96,30.09,305,26.25,4.7,0.11,0.11,0.05,0.51,0.51,365,763,59,16.16,148,19.4,4.11,0.11,0.18,0.14,0.42,0.48
pirolocams,LD,PRE,250,3942,32,12.8,154,3.91,1.2,0.0,0.0,0.0,0.81,0.57,381,2089,58,15.22,116,5.55,0.79,0.0,0.0,0.0,0.69,0.38,618,1623,54,8.74,77,4.74,0.16,0.0,0.0,0.0,0.46,0.24
bpin,HD,PRE,168,4499,16,9.52,124,2.76,0.6,0.0,0.0,0.0,0.79,0.56,288,1784,36,12.5,75,4.2,1.04,0.0,0.0,0.0,0.6,0.44,358,1456,31,8.66,57,3.91,0.28,0.0,0.0,0.0,0.52,0.37
60f1881264ff3a7f211d186a,HD,PRE,536,6443,94,17.54,1393,21.62,3.54,0.25,0.18,0.11,0.77,0.79,1371,2827,478,34.87,914,32.33,5.98,0.0,0.05,0.11,0.43,0.38,1484,2038,365,24.6,512,25.12,4.51,0.25,0.25,0.25,0.23,0.25
giulispaggiari,LD,PRE,175,4037,11,6.29,73,1.81,0.57,0.0,0.0,0.03,0.82,0.56,272,1923,35,12.87,98,5.1,0.37,0.0,0.0,0.0,0.72,0.52,563,1577,22,3.91,50,3.17,0.53,0.0,0.05,0.03,0.49,0.49
Bruno10000silva,HD,PRE,364,8312,61,16.76,2587,31.12,5.22,0.25,0.25,0.21,0.82,0.81,1100,4082,435,39.55,1736,42.53,7.18,0.25,0.25,0.21,0.6,0.6,1400,2421,513,36.64,822,33.95,9.0,0.11,0.05,0.05,0.33,0.28
Luijinho,LD,PRE,316,6003,26,8.23,66,1.1,0.0,0.0,0.0,0.0,0.84,0.48,423,1593,37,8.75,59,3.7,0.24,0.0,0.0,0.0,0.63,0.34,568,1237,30,5.28,40,3.23,0.7,0.0,0.0,0.0,0.47,0.21
salvatore9,LD,PRE,396,3618,52,13.13,367,10.14,2.78,0.0,0.0,0.05,0.69,0.58,599,1699,149,24.87,264,15.54,2.5,0.0,0.0,0.0,0.54,0.36,660,1280,123,18.64,172,13.44,3.03,0.0,0.0,0.05,0.42,0.25
fraaa,HD,PRE,116,2471,11,9.48,149,6.03,1.72,0.0,0.11,0.07,0.75,0.69,244,1518,42,17.21,147,9.68,0.41,0.0,0.0,0.0,0.6,0.4,346,958,27,7.8,72,7.52,1.45,0.0,0.0,0.0,0.45,0.37
Edu_Marques17,HD,PRE,163,3632,13,7.98,72,1.98,0.0,0.0,0.0,0.0,0.78,0.43,316,3454,30,9.49,93,2.69,0.0,0.0,0.0,0.0,0.72,0.49,363,1848,21,5.79,52,2.81,0.55,0.0,0.0,0.0,0.63,0.45
matiri95,HD,PRE,194,1981,10,5.15,20,1.01,0.0,0.0,0.0,0.0,0.74,0.4,298,1330,16,5.37,17,1.28,0.0,0.0,0.0,0.0,0.68,0.06,335,989,12,3.58,12,1.21,0.0,0.0,0.0,0.0,0.6,0.0
ricxtreme,LD,PRE,518,18187,61,11.78,2233,12.28,2.12,0.11,0.11,0.08,0.8,0.81,1982,11504,537,27.09,2142,18.62,2.72,0.0,0.0,0.03,0.65,0.58,2043,7329,378,18.5,1009,13.77,1.71,0.11,0.05,0.11,0.53,0.5
user112553,LD,PRE,477,15385,72,15.09,4419,28.72,4.82,0.25,0.18,0.21,0.82,0.77,1330,7219,607,45.64,3058,42.36,6.99,0.11,0.18,0.21,0.64,0.63,1625,4852,549,33.78,1484,30.59,6.46,0.11,0.05,0.14,0.51,0.45
saturnzbarzs,LD,PRE,179,3842,5,2.79,14,0.36,0.0,0.0,0.0,0.0,0.75,0.43,223,1550,17,7.62,29,1.87,0.45,0.0,0.0,0.0,0.69,0.37,533,1292,13,2.44,14,1.08,0.0,0.0,0.0,0.0,0.41,0.07
Kyor,HD,PRE,460,8428,44,9.57,581,6.89,1.3,0.0,0.0,0.03,0.76,0.73,996,3601,190,19.08,538,14.94,2.21,0.0,0.0,0.05,0.59,0.54,1586,2461,150,9.46,263,10.69,2.14,0.11,0.18,0.08,0.3,0.38
61141c855eb58d6a4e3d8d5b,HD,PRE,177,1606,6,3.39,16,1.0,0.0,0.0,0.0,0.0,0.68,0.27,178,573,7,3.93,21,3.66,0.0,0.0,0.0,0.0,0.53,0.27,275,481,5,1.82,12,2.49,1.09,0.0,0.0,0.04,0.33,0.33
Theossi2000,LD,PRE,336,14170,42,12.5,1308,9.23,2.98,0.0,0.0,0.11,0.83,0.76,1554,10795,342,22.01,1372,12.71,1.93,0.0,0.0,0.0,0.67,0.52,1746,6280,225,12.89,608,9.68,1.32,0.0,0.0,0.0,0.57,0.42
