genre,count,mean_pop,std_pop,min_pop,q1_pop,q2_pop,q3_pop,max_pop
mahraganat,53.0,27.62264150943396,11.432454503087554,7.0,18.0,30.0,37.0,44.0,
martial industrial,49.0,17.979591836734695,9.41959348892502,7.0,10.0,16.0,24.0,40.0,
melbourne bounce,56.0,18.232142857142858,9.519341213700512,7.0,10.0,15.0,24.0,43.0,
miami bass,64.0,21.28125,9.91466566446369,7.0,13.0,21.0,29.0,44.0,
microhouse,79.0,34.12658227848101,7.965256428031512,8.0,30.0,36.0,40.0,44.0,
minimal techno,63.0,33.507936507936506,8.596460291555521,8.0,30.0,36.0,40.0,44.0,
minimal wave,79.0,23.911392405063292,10.360415140451934,7.0,15.0,26.0,33.0,43.0,
moombahton,62.0,23.370967741935484,10.88424017991262,7.0,14.25,22.5,31.0,44.0,
neurofunk,92.0,26.77173913043478,9.96929710933906,8.0,18.0,27.5,36.0,43.0,
new beat,62.0,18.822580645161292,9.032771289339772,8.0,12.0,16.0,23.75,42.0,
new rave,43.0,33.093023255813954,9.853242041964743,7.0,31.0,35.0,39.5,44.0,
new romantic,11.0,39.27272727272727,2.9695423583747407,36.0,37.0,38.0,42.0,44.0,
new wave,7.0,39.42857142857143,2.6367367999823097,36.0,37.5,39.0,41.5,43.0,
nintendocore,68.0,24.5,11.025750050636214,7.0,15.0,25.0,34.0,43.0,
nitzhonot,26.0,16.307692307692307,7.7859834614220995,7.0,10.0,14.0,22.75,35.0,
nu skool breaks,63.0,18.793650793650794,10.199871489005002,7.0,11.0,15.0,25.0,43.0,
outsider house,78.0,29.858974358974358,9.463153916706737,7.0,26.0,31.0,37.75,43.0,
plunderphonics,11.0,19.727272727272727,11.60250756596098,7.0,11.5,16.0,29.5,40.0,
post-disco,37.0,36.189189189189186,6.3370069952350265,15.0,34.0,38.0,40.0,44.0,
power electronics,31.0,13.225806451612904,4.964605908625275,7.0,10.0,11.0,16.0,24.0,
power noise,29.0,14.241379310344827,7.744376634573508,7.0,9.0,11.0,17.0,35.0,
progressive breaks,23.0,14.173913043478262,4.437978388175527,7.0,11.0,14.0,17.5,24.0,
progressive house,57.0,37.92982456140351,6.161109736318401,10.0,35.0,39.0,42.0,44.0,
progressive psytrance,78.0,25.205128205128204,10.701813142117766,7.0,17.0,25.5,34.0,43.0,
progressive trance,84.0,32.75,8.94275637408652,9.0,29.75,35.0,39.0,44.0,
psychedelic trance,90.0,28.844444444444445,8.259704691936783,7.0,23.0,30.0,35.0,43.0,
psydub,82.0,22.390243902439025,10.421672690512413,7.0,13.0,22.5,31.0,44.0,
ragga jungle,56.0,21.375,11.182067624712182,7.0,13.0,18.5,31.25,44.0,
raggatek,75.0,18.266666666666666,10.12667514782367,7.0,10.5,16.0,23.5,44.0,
rawstyle,77.0,33.8051948051948,6.661039434137179,17.0,30.0,35.0,39.0,44.0,
sambass,66.0,20.106060606060606,10.840279286607656,7.0,11.0,17.5,28.75,41.0,
schranz,46.0,17.434782608695652,8.658078241768186,7.0,11.0,14.0,21.5,41.0,
skweee,12.0,20.083333333333332,11.874023085813176,9.0,12.25,15.0,25.25,42.0,
slap house,29.0,30.310344827586206,10.07863173917919,9.0,25.0,32.0,38.0,44.0,
soulful house,84.0,27.69047619047619,10.163691804448412,7.0,19.0,28.5,36.0,44.0,
sovietwave,60.0,19.85,8.662846833128084,7.0,12.0,20.0,25.0,40.0,
speed garage,57.0,23.94736842105263,11.433692461679678,7.0,14.0,24.0,34.0,44.0,
speedcore,57.0,22.0,9.501879513323367,7.0,13.0,22.0,29.0,42.0,
suomisaundi,12.0,9.583333333333334,3.3154825052206567,7.0,7.75,8.5,10.25,19.0,
synthwave,78.0,36.17948717948718,5.1161663553053245,25.0,32.0,36.0,41.0,44.0,
tech house,53.0,36.24528301886792,6.0982521467452475,19.0,34.0,37.0,40.0,44.0,
tech trance,77.0,19.883116883116884,9.45066695776996,7.0,12.0,17.0,26.0,44.0,
techno,77.0,28.038961038961038,8.902160527886,8.0,22.0,27.0,35.0,44.0,
terrorcore,21.0,8.428571428571429,1.5675276256394517,7.0,7.0,8.0,9.0,13.0,
trancecore,64.0,29.953125,10.195594578518891,7.0,23.0,32.5,37.25,44.0,
tribal house,64.0,25.1875,10.166666666666666,8.0,17.0,23.5,34.25,43.0,
trip hop,49.0,35.02040816326531,8.14833775461384,8.0,32.0,36.0,41.0,44.0,
tropical house,2.0,28.0,1.4142135623730951,27.0,27.5,28.0,28.5,29.0,
uk funky,23.0,24.782608695652176,10.22455387663856,7.0,18.5,25.0,32.5,42.0,
uk garage,52.0,27.153846153846153,11.035388023926135,7.0,17.75,30.0,37.0,43.0,
uplifting trance,78.0,33.53846153846154,7.0428969609385605,10.0,30.0,34.5,38.75,44.0,
vaporwave,86.0,27.488372093023255,9.646388151923237,8.0,21.0,29.0,34.0,43.0,
vocal trance,57.0,22.31578947368421,10.262897625386943,7.0,13.0,20.0,30.0,43.0,
witch house,29.0,18.482758620689655,11.057062027937402,7.0,9.0,13.0,29.0,40.0,
