,genre,pl_id,artist_name,track_name,track_pop,track_isrc,yt_link,viewCount
10834,jungle,spotify:playlist:35Ezi6bCni1zwVOW2rOWDj,Prizna,Fire (Original Mix),19,USWR30910219,https://www.youtube.com/watch?v=8d9SgMBvNpM,31495
8788,hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Nostrum,Brainchild - Original,33,DEE829807050,https://www.youtube.com/watch?v=1kVsblFrI9o,14981
14934,skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Pavan,Renita,23,GBKPL1670319,https://www.youtube.com/watch?v=8za5ZL4ElxY,5858
6744,euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,Bioweapon,Bass Power - Radio Edit,28,NLS761100082,https://www.youtube.com/watch?v=ILTPuahAXCI,17428
6753,euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,"Xense,Philip Matta",Come To Life,22,NLS761800407,https://www.youtube.com/watch?v=l4aeyBJg0Fw,4185
6756,euphoric hardstyle,spotify:playlist:7kUeKVMrA3eMZNP4p8HKVi,"Emphasis,Razzle",Never Let Go,20,NLE801700495,https://www.youtube.com/watch?v=-a35rfkbITs,43717
4720,disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,SoLeo,Otwieram okno (Lecę na zabawę),35,PLR862100061,https://www.youtube.com/watch?v=uKgCdlUnLNk,91875
17009,witch house,spotify:playlist:0qRB6EMArr8xLzHOK7th7o,Bruxa,Witchstep (Black Ceiling Remix),12,TCABC1170547,https://www.youtube.com/watch?v=j0dfBgOCV6c,13327
14963,skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,DKSTR,Don't Stop,9,QZDA71817110,https://www.youtube.com/watch?v=fBUPABsKT1Y,53053
8824,hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Max B. Grant,No Good 2005 - Original Mix,17,NLS760600108,https://www.youtube.com/watch?v=sWR5rYnbKFc,6858
4729,disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Rompey,Passerati (Radio Edit),34,PLH791600003,https://www.youtube.com/watch?v=qgEG4IpPMcg,4377
4736,disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,Mega Dance,W Dyskotece ( Radio Edit),31,PLP711500018,https://www.youtube.com/watch?v=3rXn1gxtp3E,24273
12929,new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,Arcadia,Election Day - 2010 Remaster,38,GBAYE0902799,https://www.youtube.com/watch?v=OgBgfHJcXuI,89288
12928,new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,The Associates,Party Fears Two,39,UKCUL8200008,https://www.youtube.com/watch?v=-Lx1_Add-z4,79518
8836,hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Luca Antolini Dj,HEAT (Original Hardtrance Mix),11,ITC940200101,https://www.youtube.com/watch?v=f6v3knJi_1I,27702
12932,new romantic,spotify:playlist:4c8FDUUCm33WYC9xztAGYT,Toyah,It's a Mystery,37,GBXPL9431501,https://www.youtube.com/watch?v=MBf4g65ZAnI,49997
8840,hard trance,spotify:playlist:3S1y29gI6Wpchw9YCBHXM9,Ralph Novell,Alphazone Remix,10,DEZ650705881,https://www.youtube.com/watch?v=FAU8ZllugKk,10565
14985,skweee,spotify:playlist:35woouyNDBZLI0bKnZmE3s,Fort Fairfield,"The Sky, Full of Birds",15,USDHM1308426,https://www.youtube.com/watch?v=JeXH5CILPBo,12423
4747,disco polo,spotify:playlist:1HwHGzGFWk5nhDkezPcOAK,BIG DANCE,Cztery razy po dwa razy,27,PLG551200095,https://www.youtube.com/watch?v=Y0Gu_W3KlNo,51355
10895,kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,"KOTONOHOUSE,TOFUKU","pitter, patter",39,JPR501925812,https://www.youtube.com/watch?v=BuQpOa0TkUQ,10042
6810,eurobeat,spotify:playlist:2FxGFGXJi4yawmWPH5ZYJP,MATT LAND,City Lover City Rider - Extended Mix,32,JPB600390146,https://www.youtube.com/watch?v=7_4YiHv4rMQ,11374
669,afroswing,spotify:playlist:5cxxxlEnpCUjwB3YdHMYEd,"Mazy,K3NZO",Señorita,36,QZFZ62142939,https://www.youtube.com/watch?v=9IGHIp0NEqg,16137
2718,broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,The Rebirth,Evil Vibrations,37,USUR40416402,https://www.youtube.com/watch?v=QDQzTR8CptU,15088
15005,slap house,spotify:playlist:1TAxbbKCs6rlEQcrdVWYmW,Blaze U,Intoxicated,25,CH3132000259,https://www.youtube.com/watch?v=A3fK-0Tdbnk,32872
2720,broken beat,spotify:playlist:1rnJHknpDL8e9EjJeI7d1V,"Kaidi Tatham,Children of Zeus",Out Here on My Own (feat. Children of Zeus),34,GBMCZ0601178,https://www.youtube.com/watch?v=kk_fYnR_3KU,11707
10914,kawaii future bass,spotify:playlist:1L3GAiiBL5sBNbDEAMGMEA,"Tenkitsune,AIKA,Trifect",Triple Sweet,34,QM42K1818148,https://www.youtube.com/watch?v=P3naq6hc3yo,23707
