participant,age:1,gender:1,gender:other,citizenship:1,residence:1,education:1,mb1:1,mb2:1,mb3:1,mb4:1,mb4:other,mb5:1,af:1,af:2,af:3,af:4,af:5,af:6,af:7,af:8,af:9,af:10,af:11,af:12,af:13,af:14,af:15,af:16,af:17,af:18,af:19,af:20,gf:1,gf:2,gf:3,gf:4,gf:5,gf:6,gf:7,gf:8,gf:9,gf:10,gf:11,gf:12,gf:13,gf:14,gf:15,gf:16,gf:17,gf:18,gf:19,gf:20,guttman:1,guttman:2,guttman:3,guttman:4,guttman:5,PROLIFIC_PID,STUDY_ID,SESSION_ID,TIME_start,TIME_end,TIME_total,artist_fam_score,genre_fam_score,avg_fam_score,open_score
s.e50e6cb0-9cb0-4ce2-848c-0838964ecd3d.txt,3,1,,Portugal,Portugal,4.0,4,3,4,2,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,60379e8ee8a603000ae6c087,6269053ac9ca43d823c77778,627230bfb66ce31a5a4ccd27,2022-05-04-09-54,2022-05-04-09-56,2,10.50,9.85,10.18,5
s.3d7f0de1-5cda-4d91-ad86-7da87fe5c11b.txt,2,1,,Portugal,Portugal,3.0,3,2,2,2,,2,3,1,3,3,1,1,3,3,3,2,3,3,1,3,1,3,2,1,1,3,1,2,3,2,1,1,3,1,1,1,3,3,1,3,2,1,3,1,1,1,1,1,2,2,2,58f50400f4ce600001016db5,6269053ac9ca43d823c77778,627230d61eb44dc52c9c9fbc,2022-05-04-09-54,2022-05-04-09-56,2,2.88,5.30,4.09,2
s.2175e7d1-ef38-4a1a-bf69-406d32f005fc.txt,3,2,,Italy,Italy,2.0,4,1,1,2,,1,3,1,3,1,3,3,3,3,3,3,3,3,1,3,3,3,3,3,2,3,1,3,2,1,1,3,1,1,3,1,3,3,1,3,3,3,3,1,3,1,1,1,1,2,2,6026a3507e666237c315a0b0,6269053ac9ca43d823c77778,62723099ee8574443da8bd44,2022-05-04-09-54,2022-05-04-09-56,2,1.00,4.35,2.68,3
s.b7ddacc2-19b6-497f-9026-8c1b7111f226.txt,4,2,,Spain,Spain,2.0,5,4,5,2,,4,3,1,3,1,1,3,3,3,3,1,1,3,1,3,1,1,1,1,3,3,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,1,1,1,1,1,1,1,1,5789972670c76a00012433b3,6269053ac9ca43d823c77778,6272313fc0089e122c959504,2022-05-04-09-54,2022-05-04-09-57,3,3.35,7.80,5.58,5
s.0a3fccd2-21d6-464a-b9a2-9ce7b6a706fa.txt,2,2,,Portugal,Portugal,3.0,4,2,3,2,,1,3,1,3,2,3,3,3,3,3,3,1,3,1,3,1,3,2,2,3,3,1,1,3,1,1,2,3,1,3,1,3,3,1,3,2,3,3,1,1,1,1,1,1,2,2,604676dbcf412f053df7d365,6269053ac9ca43d823c77778,627230a86419bd36fcc603ca,2022-05-04-09-54,2022-05-04-09-56,2,1.15,4.50,2.83,3
s.1e568527-ed38-4e0d-bea6-26693e335837.txt,3,1,,Portugal,Porto,5.0,5,3,4,2,,2,3,1,3,1,2,3,3,2,1,1,1,2,1,3,1,3,1,3,3,3,1,1,3,1,1,1,2,2,2,2,3,3,1,3,3,3,3,1,2,1,1,1,1,1,2,5adb312cdee8590001b00f11,6269053ac9ca43d823c77778,62723150032c7c848c741257,2022-05-04-09-55,2022-05-04-09-57,2,3.42,4.58,4.00,4
s.c51356b7-be81-4b7d-993f-b160c940b197.txt,3,2,,Portugal,Portugal,4.0,5,2,1,2,,2,2,1,3,1,3,3,3,1,2,1,1,1,1,1,1,3,1,1,3,3,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,1,1,2,2,2,2,605c4ed6bd6d76197d56f687,6269053ac9ca43d823c77778,6272314e15f1fa3220616458,2022-05-04-09-55,2022-05-04-09-56,1,4.40,8.45,6.42,1
s.03e27f97-11a0-4578-9a55-37a9f8bf4349.txt,3,1,,Portugal,Portugal,3.0,4,4,4,2,,4,2,1,3,1,2,1,3,2,1,1,1,3,1,1,1,1,1,1,3,3,1,1,2,1,1,1,1,1,1,1,3,3,1,2,1,1,3,1,1,1,1,1,1,1,1,5cf95f2057f4c1001a637fd1,6269053ac9ca43d823c77778,62723179688b1ccef31fde26,2022-05-04-09-56,2022-05-04-09-58,2,5.10,7.83,6.46,5
s.3219bf8c-3494-45e6-a379-65ad76486c95.txt,2,1,,Portugal,Portugal,2.0,3,4,4,2,,4,2,1,2,3,2,3,2,3,3,2,1,2,1,1,1,2,3,3,3,3,1,1,2,1,1,1,1,1,2,1,1,3,1,1,2,3,3,1,3,2,1,1,1,2,2,60801c084f4234dd058263c6,6269053ac9ca43d823c77778,627230ba3e6988a7932a06a0,2022-05-04-09-59,2022-05-04-10-05,6,3.20,6.97,5.09,3
s.44606087-9961-48b7-9699-cd9adb3b5cb9.txt,3,1,,Italian,Italy,2.0,4,4,4,2,,1,1,1,2,2,3,1,3,3,3,3,1,1,1,1,2,3,1,1,3,2,1,3,3,3,1,1,2,1,1,1,1,3,1,1,3,1,3,1,1,1,1,1,1,2,2,60290c574980dd7f8e378b84,6269053ac9ca43d823c77778,627230bc0e9450630f5ec248,2022-05-04-09-59,2022-05-04-10-02,3,4.62,6.30,5.46,3
s.aa9828e7-6b1f-4520-a560-40ea4a605cb2.txt,4,1,,Italy,Italy,6.0,4,5,4,4,,2,1,2,1,1,1,1,1,1,1,1,1,1,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,1,1,1,1,3,1,1,2,1,1,1,1,1,5dc75ca46bba9b53c23a76af,6269053ac9ca43d823c77778,6272309d85178f93456aa61d,2022-05-04-10-14,2022-05-04-10-17,3,9.85,8.00,8.93,5
s.52d23288-11bd-4b3c-975b-97145ec604e8.txt,2,1,,Italy,Italy,3.0,4,4,3,2,,1,3,1,3,1,3,3,3,2,2,3,3,1,1,1,3,1,3,3,3,3,1,1,3,1,1,1,3,1,3,1,2,3,1,1,3,3,3,1,1,3,1,1,1,1,1,5fbb7aae04da87a3fe5f129c,6269053ac9ca43d823c77778,6272309e8428f2b4751a3005,2022-05-04-10-17,2022-05-04-10-20,3,3.08,4.53,3.80,5
s.fce43795-9258-4884-af29-21c38874029f.txt,2,1,,Portugal,Portugal,2.0,5,4,4,2,,4,3,1,3,1,3,3,3,3,3,2,3,3,1,1,1,3,3,3,3,3,1,2,2,2,1,1,1,2,2,2,1,2,2,2,1,2,1,1,2,3,1,1,1,1,1,604a3c8ec261d2fa6ac242c3,6269053ac9ca43d823c77778,627238dfae954d5f52e96e6f,2022-05-04-10-27,2022-05-04-10-29,2,1.05,6.87,3.96,5
s.52a0f3c5-a98c-499a-a6fb-c94c562f27cd.txt,3,2,,Italy,Lombary,2.0,3,5,4,2,,3,1,1,3,1,3,1,3,3,3,1,1,2,2,3,3,3,2,1,3,3,1,3,3,3,1,3,1,1,3,1,2,3,1,3,3,2,3,1,2,3,2,2,2,2,1,5ebacfd02866ba04c73b14c7,6269053ac9ca43d823c77778,627238d0b8bfaf022e3ed60a,2022-05-04-10-27,2022-05-04-10-30,3,3.23,3.55,3.39,1
s.39993285-e25b-4140-a1c5-7a2106ec7729.txt,3,1,,Italy,Lazio,5.0,5,2,2,2,,1,3,1,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,1,3,3,1,3,3,1,1,2,3,3,3,3,3,3,3,1,3,1,1,2,2,2,2,5e7a2fc429c35307d86105a1,6269053ac9ca43d823c77778,627238df17bbb7b8c4f100a7,2022-05-04-10-27,2022-05-04-10-34,7,0.17,3.38,1.77,1
s.6f9c1d34-6cf6-4575-94f7-2c3c95920ee0.txt,2,2,,Portugal,Leiria,3.0,5,4,4,2,,3,1,1,1,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,1,1,1,1,1,2,2,61443e47c248a375c899a0cf,6269053ac9ca43d823c77778,627238e0ee88f5d44059fae1,2022-05-04-10-27,2022-05-04-10-29,2,8.90,8.82,8.86,3
s.57136edc-b937-4bec-86ca-1b17f153e937.txt,2,1,,Portugal ,Portugal,1.0,5,3,2,2,,4,3,1,3,3,3,3,3,3,3,3,2,3,2,3,1,3,3,3,3,3,1,1,3,2,1,3,2,1,3,1,2,3,1,2,3,2,3,1,1,1,1,1,1,1,2,60496d3990d324547105f959,6269053ac9ca43d823c77778,627238d3973a2d1e4632fddf,2022-05-04-10-27,2022-05-04-10-34,7,0.40,5.40,2.90,4
