participant	age:1	gender:1	gender:other	citizenship:1	residence:1	education:1	mb1:1	mb2:1	mb3:1	mb4:1	mb4:other	mb5:1	af:1	af:2	af:3	af:4	af:5	af:6	af:7	af:8	af:9	af:10	af:11	af:12	af:13	af:14	af:15	af:16	af:17	af:18	af:19	af:20	gf:1	gf:2	gf:3	gf:4	gf:5	gf:6	gf:7	gf:8	gf:9	gf:10	gf:11	gf:12	gf:13	gf:14	gf:15	gf:16	gf:17	gf:18	gf:19	gf:20	guttman:1	guttman:2	guttman:3	guttman:4	guttman:5	PROLIFIC_PID	STUDY_ID	SESSION_ID	TIME_start	TIME_end	TIME_total
s.067d83ba-3d9e-4e78-b7db-d8ae42a4ba0d.txt	3	2		Italy	Puglia	2	5	4	4	2		2	3	1	2	1	3	2	2	3	3	3	2	1	1	3	1	3	3	1	2	2	1	1	2	2	1	2	1	1	2	1	2	2	1	2	1	2	2	2	2	1	2	1	2	2	2	5fb015142942a535524f55fc	6269053ac9ca43d823c77778	6270fd9282d86c6670add5c6	2022-05-03-12-02	2022-05-03-12-04	2
s.c13402a5-7a31-46a4-8e39-9728943ecbf8.txt	2	2		Italy	Italy	2	4	3	2	2		3	3	1	3	1	2	2	3	2	3	1	3	2	1	1	1	3	3	3	3	3	2	1	1	1	1	1	3	1	3	1	3	3	1	3	3	3	3	1	3	1	1	1	2	2	2	612d5712d75b6c46b4cefc63	6269053ac9ca43d823c77778	6270fda7ef491572f8d5bbdb	2022-05-03-12-02	2022-05-03-12-05	3
s.014d86cf-2b93-4ff6-b877-d3c81e1b1c2d.txt	2	2		italy	piedmont	3	4	3	4	2		1	3	1	3	3	3	2	3	3	3	2	3	2	1	3	1	3	3	3	3	3	1	3	1	1	1	3	1	1	2	3	3	3	1	3	2	1	3	3	3	3	1	1	2	2	2	5e8497aa346fba03dc219558	6269053ac9ca43d823c77778	6270fdae217aec509f09b836	2022-05-03-12-02	2022-05-03-12-04	2
s.bd515268-87e0-4cda-97c4-5dd87b06e5cd.txt	2	2		Italy	Italy	2	5	4	4	2		1	2	1	3	1	3	1	3	2	3	1	1	1	1	3	3	3	1	1	3	3	1	1	3	1	1	1	1	1	1	1	3	3	1	1	1	1	3	1	1	1	1	1	1	1	2	6108060c424a78752e1e491e	6269053ac9ca43d823c77778	6270fda6f1411fcf5bd9a189	2022-05-03-12-02	2022-05-03-12-04	2
s.d6db5e12-5cab-42bb-a177-9a738c5aff04.txt	2	2		Italy	Italy	2	5	3	4	2		2	3	1	3	2	3	3	3	3	3	3	1	3	1	3	3	3	3	3	3	3	1	3	3	1	1	3	1	1	3	2	3	3	1	3	3	1	3	1	3	1	1	1	2	2	2	61322612510b85268a0c4b63	6269053ac9ca43d823c77778	6270fdf3ac01655dbb17c141	2022-05-03-12-03	2022-05-03-12-06	3
s.4021507b-fe8c-4992-86ca-dfc000ded521.txt	4	2		Italy	Italy	2	4	3	3	2		2	1	1	1	1	2	2	3	3	1	1	1	3	1	3	3	3	1	1	3	3	1	2	2	1	1	1	2	1	1	1	2	3	1	2	3	1	3	1	1	1	1	1	1	1	2	5ef0a462ebe9a7092d6bb28d	6269053ac9ca43d823c77778	6270fdc71f6979dc4871b7c1	2022-05-03-12-03	2022-05-03-12-04	1
s.798a4a5f-07d4-4f92-a191-39e467a8627d.txt	3	1		italy	italy	3	5	4	4	2		4	1	1	3	1	1	1	3	1	1	1	1	2	1	1	1	3	1	1	3	2	1	1	2	1	1	1	1	1	1	1	1	3	1	1	2	1	3	1	1	1	1	1	1	1	2	5ede13094e77400127b0d8ac	6269053ac9ca43d823c77778	6270fdf67d25dde1d81289c0	2022-05-03-12-03	2022-05-03-12-05	2
s.ca9bbed1-9b81-4dbe-942f-88f92746e07b.txt	3	1		Italy	Italy	4	5	4	5	4		3	3	1	3	1	3	3	3	3	3	1	1	3	1	1	1	3	1	3	3	3	1	1	1	1	1	1	3	1	1	1	1	3	1	1	1	1	3	1	1	1	1	1	1	1	2	5fa9d9a57e564e271b8c2175	6269053ac9ca43d823c77778	6270fd8f8c73b8976180617d	2022-05-03-12-03	2022-05-03-12-05	2
s.9a0273eb-ce6c-4780-b7c3-834943844a5d.txt	3	2		italy	italy	2	5	3	4	2		2	2	1	3	1	3	3	3	2	3	3	2	1	1	3	1	3	3	3	3	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	2	2	2	61116ea73faf9f738be9be68	6269053ac9ca43d823c77778	6270fe03e1bfac2b72c0b873	2022-05-03-12-04	2022-05-03-12-06	2
s.fb6b56ef-8dae-4396-a603-64da2b35db0d.txt	2	2		Italy	Italy	3	4	2	4	2		2	3	1	3	2	3	3	3	3	3	3	3	2	2	3	1	3	3	2	3	3	1	3	3	1	1	2	2	1	3	3	3	3	1	3	3	3	3	1	3	3	1	1	2	2	2	615c43b800752a4f3d0fd1f0	6269053ac9ca43d823c77778	6270fe35e3c24b51284d5dce	2022-05-03-12-04	2022-05-03-12-08	4
